id,customer_id,card_type,card_number,expiry_year,expiry_month,created_date,modified_date
8,1663,VISA,4267322463103281,2007,7,2016-05-04,2020-01-29
27,2207,JCB,3576858039827687,2008,12,2018-07-22,2025-08-14
39,15377,Maestro,502011409468,2005,5,2018-11-18,2025-08-02
45,2293,Diners,38637672643041,2006,4,2017-07-07,2023-01-25
47,17449,JCB,3500771950840020,2008,3,2018-06-28,2019-12-29
50,851,JCB,180051385999052,2007,5,2017-08-16,2020-02-19
69,521,AMEX,374505610237121,2005,6,2015-07-30,2025-07-25
72,19112,AMEX,371036221171494,2005,7,2017-04-14,2024-07-06
76,6370,AMEX,372256418213367,2008,5,2014-11-13,2023-08-04
86,2645,Maestro,675967910612,2006,1,2017-04-23,2022-09-08
99,4365,Mastercard,5228857204170219,2006,12,2018-08-15,2026-09-24
100,10915,JCB,3518404019434276,2007,9,2018-09-25,2025-03-01
106,15069,Maestro,676378798661,2008,10,2017-11-28,2023-03-08
123,8537,VISA,4497977750007115,2007,8,2018-03-23,2022-04-01
125,9326,VISA,4544838042938173,2006,6,2018-01-02,2023-02-04
129,3145,VISA,4167870071500660528,2005,12,2017-03-05,2021-08-09
134,20166,VISA,4713410806834,2006,8,2018-04-22,2020-09-28
146,10793,VISA,4391267174349,2006,1,2016-10-27,2020-02-03
151,7141,JCB,213161590776053,2007,12,2016-06-17,2018-11-25
157,2143,VISA,4009708896584233,2005,6,2015-07-31,2023-01-25
160,2209,VISA,4838356847935497,2007,12,2017-08-17,2024-07-16
175,5898,VISA,4390837180608187886,2006,1,2016-06-10,2025-02-08
190,11259,VISA,4705537082232,2006,7,2018-09-02,2025-10-07
196,14690,VISA,4350186814860040,2005,7,2017-06-15,2026-08-23
198,671,JCB,180066369366912,2007,7,2017-05-28,2023-06-14
199,2840,Mastercard,5407106469252558,2007,5,2018-06-05,2025-10-23
200,16229,VISA,4079696912631705,2008,4,2019-03-17,2022-09-16
203,7361,JCB,3560550474360070,2007,11,2017-01-31,2020-02-04
207,2399,VISA,4289518502369,2008,1,2018-12-24,2021-04-28
211,2261,VISA,4414605118075254191,2006,6,2018-07-01,2021-02-22
213,281,JCB,213121995768683,2008,9,2016-12-19,2017-08-23
224,793,Maestro,502064506400,2006,5,2018-09-11,2019-10-05
229,879,VISA,4583184190051184,2008,9,2019-01-25,2027-12-20
240,4740,Mastercard,2593598237058518,2008,5,2017-03-21,2023-12-06
275,14523,Discover,6537292303837787,2008,5,2019-07-08,2025-06-13
279,6467,Mastercard,2250418496680387,2006,5,2016-11-25,2023-01-01
288,2357,VISA,4781380098864120,2007,6,2019-01-23,2019-07-11
309,17519,VISA,4820965166070365803,2007,3,2019-04-23,2020-10-16
324,14487,Maestro,502063233147,2005,2,2013-02-27,2019-01-25
339,5692,VISA,4139039168739559,2008,12,2018-07-10,2020-06-24
345,221,VISA,4079642575958710357,2008,6,2017-03-31,2021-08-08
349,20684,Mastercard,2288473664396023,2007,9,2017-06-21,2019-04-24
364,8445,JCB,3579711678028173,2007,9,2019-05-31,2023-03-14
375,16617,Maestro,676259215595,2005,5,2017-06-02,2027-05-25
376,206,VISA,4912811282826243110,2006,7,2017-07-05,2020-02-26
378,5369,JCB,3543789400587545,2006,4,2016-11-29,2020-05-01
381,11676,Mastercard,2257736862194680,2006,3,2018-04-10,2026-11-01
386,9504,Maestro,503805160549,2006,6,2017-11-01,2026-03-11
402,17272,JCB,3578491704590030,2008,11,2017-02-02,2027-01-20
405,14907,Discover,6529728613975007,2006,9,2019-01-13,2019-09-27
406,1459,JCB,3596931286972088,2007,1,2019-01-23,2020-12-25
434,19552,VISA,4206261196417655,2006,3,2019-03-31,2026-04-25
441,883,JCB,213112315146601,2006,9,2016-08-27,2024-07-08
447,1169,JCB,180045108727378,2007,8,2017-11-25,2023-11-05
451,12,Maestro,501897636897,2005,6,2015-10-06,2019-12-20
504,2009,Maestro,576434807466,2005,2,2016-09-05,2025-11-30
506,2365,JCB,3526737196232330,2008,10,2016-10-31,2022-12-16
508,5432,VISA,4942910543288,2008,9,2017-07-15,2021-05-09
525,13410,VISA,4159080136439093563,2006,6,2019-05-22,2026-01-15
540,573,AMEX,376836636839592,2008,3,2016-12-28,2020-11-29
552,165,Discover,6500363126711781,2008,1,2017-01-14,2021-01-06
556,2179,JCB,3524173045396146,2007,11,2018-01-29,2025-10-01
571,2085,AMEX,372078970503682,2008,11,2019-02-20,2020-06-09
574,6210,JCB,213193807128422,2008,7,2018-05-07,2023-10-19
575,12903,VISA,4514184771021055,2008,1,2017-07-22,2025-02-16
576,158,JCB,180028737892201,2008,2,2017-05-19,2019-11-13
586,2326,VISA,4807385851946667,2006,6,2018-02-17,2023-02-01
591,14755,Mastercard,5422980069848184,2007,6,2018-01-05,2025-10-11
593,2236,Maestro,676372011061,2005,12,2018-02-04,2023-05-19
602,9439,JCB,3550399582726323,2006,6,2018-03-25,2020-11-09
605,2330,VISA,4757190662847033,2005,1,2017-07-20,2025-01-14
607,7620,Maestro,569425604802,2005,4,2017-01-04,2019-08-14
620,2171,VISA,4013933217326999,2006,12,2017-01-26,2019-10-13
633,12135,Mastercard,2287714007427848,2005,4,2017-05-04,2023-11-19
661,84,Mastercard,2707958599004869,2008,6,2016-09-03,2023-11-29
663,2230,Maestro,560439219133,2005,8,2018-08-15,2024-05-21
666,7394,VISA,4313762324625440,2008,2,2016-12-11,2024-10-14
681,18886,Diners,38904363728071,2005,8,2019-04-23,2024-07-20
690,3,VISA,4218336232776,2005,11,2017-12-19,2020-10-23
694,2059,VISA,4216863394357,2006,5,2016-12-29,2025-01-03
702,3696,VISA,4565589244555034,2006,11,2017-04-03,2022-12-31
708,191,Mastercard,2492174731231910,2006,6,2017-09-10,2027-11-17
713,10415,VISA,4902488526093040,2008,10,2019-07-14,2027-04-10
718,2238,VISA,4988165733382872,2008,1,2017-08-07,2025-03-27
746,15254,VISA,4834504193261489,2008,11,2018-12-19,2020-08-20
751,13204,JCB,3547178264691534,2006,9,2017-11-10,2027-12-04
752,1133,JCB,3536287054406962,2008,1,2017-06-22,2023-10-17
759,13176,JCB,3567068648560288,2006,2,2015-11-23,2018-11-26
769,15223,Mastercard,2565724953852207,2008,9,2017-02-09,2022-03-14
781,2109,Mastercard,2512622435707110,2008,1,2019-02-08,2023-01-09
792,15730,Discover,6585048686705574,2006,10,2018-10-10,2022-05-20
796,11215,Discover,6584718950052454,2007,3,2018-03-08,2020-09-28
797,2176,Discover,6581412116237851,2007,8,2018-04-28,2024-10-15
811,9381,JCB,3552926187138773,2008,11,2018-01-13,2025-05-10
819,3238,AMEX,340937844401630,2006,1,2018-03-27,2023-09-13
827,132,VISA,4104442369430325929,2006,2,2018-08-22,2026-06-27
828,2084,VISA,4286273953613,2005,5,2013-04-03,2020-10-26
836,1503,Diners,30566020415844,2008,12,2017-12-23,2023-02-03
839,16935,AMEX,372581031722449,2007,7,2016-11-21,2023-10-21
844,179,Mastercard,2234025809671135,2005,12,2017-04-19,2023-04-24
847,1790,VISA,4739372029769429828,2008,7,2017-12-23,2027-04-28
850,2249,Diners,30321284263237,2006,10,2017-02-04,2025-03-27
863,18436,Mastercard,2279097030771378,2008,5,2019-10-27,2026-11-25
864,12820,VISA,4726280648110842,2005,2,2015-01-13,2019-08-14
877,17904,JCB,3529132954866437,2006,3,2017-02-06,2024-07-13
878,16701,VISA,4941879592773152025,2008,4,2019-03-07,2023-01-28
887,16831,VISA,4334482557395489235,2006,11,2014-07-06,2018-03-25
889,2212,AMEX,343340709803031,2005,3,2017-12-21,2023-06-09
899,236,VISA,4304795230036668618,2005,9,2017-04-16,2024-12-24
900,58,AMEX,349466006927381,2005,8,2017-09-02,2026-06-09
906,1147,JCB,213113330451224,2008,8,2016-12-25,2023-04-27
921,2324,Diners,38054640553726,2007,12,2018-12-06,2026-07-07
933,94,JCB,213149367235155,2005,7,2016-12-02,2026-06-04
937,2024,VISA,4981431652192735,2007,11,2015-11-26,2021-11-28
945,278,JCB,3578351516783175,2008,12,2017-03-14,2025-04-07
950,13372,JCB,3574725237984200,2005,3,2016-08-02,2020-10-09
958,95,Mastercard,2720122393797771,2005,4,2016-02-10,2025-07-27
974,148,JCB,3527618224272317,2007,1,2015-01-24,2020-03-03
991,16681,JCB,180087316009496,2006,12,2018-09-20,2024-07-13
1014,13514,Mastercard,5197727326690625,2007,1,2017-10-26,2025-11-15
1015,10021,VISA,4265275306756,2005,3,2016-10-30,2021-10-02
1043,6805,JCB,3558217572137875,2008,9,2017-01-18,2021-07-09
1057,487,JCB,180036216082624,2007,11,2017-08-27,2022-06-14
1062,819,VISA,4091985935929723,2005,11,2018-09-12,2021-11-30
1070,2053,AMEX,379448196999126,2006,9,2018-06-10,2021-10-02
1073,2137,VISA,4988164686950,2007,7,2018-04-10,2025-04-12
1082,3799,Diners,30463924765047,2006,2,2018-07-04,2027-01-27
1097,245,Maestro,676289341528,2005,6,2017-08-29,2026-10-30
1115,10545,VISA,4505614111662953,2007,6,2016-08-25,2026-10-12
1116,168,JCB,213162188490388,2005,4,2016-10-12,2025-09-04
1118,721,Mastercard,2256415809099671,2007,12,2017-10-16,2024-08-28
1120,7956,VISA,4433839460135,2008,3,2017-08-27,2025-03-25
1124,13417,JCB,180013307367339,2005,12,2018-12-12,2024-02-14
1133,2055,Mastercard,2425217505821929,2006,11,2016-05-03,2022-02-18
1151,13143,VISA,4580943078631,2008,10,2018-05-08,2026-02-04
1168,2343,JCB,213153111005245,2008,4,2015-12-04,2019-10-30
1181,16962,VISA,4979552195921159,2008,3,2018-05-15,2027-09-17
1182,417,AMEX,372589120469947,2007,7,2019-01-28,2022-02-16
1200,81,VISA,4367552236928,2005,12,2018-06-03,2027-02-19
1210,2315,Discover,6011915976010614,2007,10,2016-08-31,2023-12-21
1220,93,VISA,4759585432551427,2005,12,2016-04-06,2019-01-30
1255,3978,AMEX,375143464932289,2008,5,2019-08-10,2022-09-26
1262,9118,Mastercard,2709404854026816,2006,9,2017-12-08,2018-11-16
1279,311,JCB,3538239027915775,2007,1,2017-01-31,2022-10-30
1297,6552,JCB,3525419491453207,2005,6,2017-10-03,2023-04-07
1304,10909,VISA,4268936682131017330,2008,12,2018-09-10,2023-07-18
1305,14780,Maestro,639030892157,2006,7,2019-07-02,2023-03-29
1327,2375,Discover,6011031090997007,2007,11,2015-05-30,2020-03-02
1334,13437,VISA,4225354452345616,2007,2,2017-01-17,2024-10-06
1348,3311,VISA,4352129736010250,2008,12,2017-04-14,2022-05-09
1350,4003,VISA,4684864687680524,2005,7,2018-04-07,2025-09-27
1374,11969,Mastercard,2279663604179296,2008,12,2018-02-28,2026-10-18
1377,6222,Discover,6572951458121281,2006,8,2017-07-19,2020-10-03
1388,703,Mastercard,2315432662877464,2005,6,2016-12-31,2019-02-24
