id,state_id,address_line1,address_line2,city,postal_code,created_date,modified_date,address_type
1,79,1970 Napa Ct.,,Bothell,98011,2016-02-25,2016-02-29,both
2,79,9833 Mt. Dias Blv.,,Bothell,98011,2017-02-21,2017-02-23,both
4,79,9539 Glenside Dr,,Bothell,98011,2017-04-23,2017-04-24,both
5,79,1226 Shoe St.,,Bothell,98011,2017-03-10,2017-03-11,both
6,79,1399 Firestone Drive,,Bothell,98011,2017-05-06,2017-05-09,both
7,79,5672 Hale Dr.,,Bothell,98011,2018-03-04,2018-03-05,both
8,79,6387 Scenic Avenue,,Bothell,98011,2017-03-05,2017-03-08,both
10,79,250 Race Court,,Bothell,98011,2017-02-21,2017-02-25,both
14,79,8157 W. Book,,Bothell,98011,2018-02-20,2018-02-23,both
20,79,6872 Thornwood Dr.,,Bothell,98011,2017-04-26,2017-04-30,both
21,79,5747 Shirley Drive,,Bothell,98011,2017-04-30,2017-04-30,both
22,58,636 Vine Hill Way,,Portland,97205,2019-08-15,2019-08-17,both
23,79,6657 Sand Pointe Lane,,Seattle,98104,2017-04-06,2017-04-07,both
24,36,80 Sunview Terrace,,Duluth,55802,2019-08-11,2019-08-15,both
26,9,5725 Glaze Drive,,San Francisco,94109,2019-08-14,2019-08-16,both
27,74,2487 Riverside Drive,,Nevada,84407,2019-08-13,2019-08-18,both
28,6,9228 Via Del Sol,,Phoenix,85004,2019-10-22,2019-10-23,both
29,72,8291 Crossbow Way,,Memphis,38103,2019-08-14,2019-08-16,both
30,15,9707 Coldwater Drive,,Orlando,32804,2019-09-22,2019-09-25,both
31,57,9100 Sheppard Avenue North,,Ottawa,K4B 1T7,2019-08-12,2019-08-15,both
33,1,10203 Acorn Avenue,,Calgary,T2P 2G8,2019-08-11,2019-08-11,both
38,35,8154 Via Mexico,,Detroit,48226,2019-08-15,2019-08-15,both
40,79,1902 Santa Cruz,,Bothell,98011,2018-04-25,2018-04-25,both
42,79,463 H Stagecoach Rd.,,Kenmore,98028,2017-04-13,2017-04-17,both
43,79,5203 Virginia Lane,,Kenmore,98028,2018-05-02,2018-05-06,both
44,79,4095 Cooper Dr.,,Kenmore,98028,2017-03-17,2017-03-22,both
45,79,6697 Ridge Park Drive,,Kenmore,98028,2017-02-16,2017-02-21,both
46,79,5669 Ironwood Way,,Kenmore,98028,2017-04-20,2017-04-25,both
47,79,8192 Seagull Court,,Kenmore,98028,2017-03-30,2017-04-03,both
49,79,7048 Laurel,,Kenmore,98028,2017-04-22,2017-04-25,both
50,79,25 95th Ave NE,,Kenmore,98028,2017-04-27,2017-05-02,both
51,79,3280 Pheasant Circle,,Snohomish,98296,2017-02-18,2017-02-21,both
52,79,4231 Spar Court,,Snohomish,98296,2017-04-13,2017-04-16,both
53,79,1285 Greenbrier Street,,Snohomish,98296,2017-03-17,2017-03-20,both
54,79,5724 Victory Lane,,Snohomish,98296,2018-04-22,2018-04-26,both
55,79,591 Merriewood Drive,,Snohomish,98296,2017-05-09,2017-05-11,both
57,79,7230 Vine Maple Street,,Snohomish,98296,2017-04-10,2017-04-12,both
58,79,2601 Cambridge Drive,,Snohomish,98296,2017-02-23,2017-02-26,both
59,79,2115 Passing,,Snohomish,98296,2017-02-17,2017-02-21,both
60,79,4852 Chaparral Court,,Snohomish,98296,2018-03-16,2018-03-17,both
61,79,7726 Driftwood Drive,,Monroe,98272,2014-09-12,2014-09-12,both
62,79,3841 Silver Oaks Place,,Monroe,98272,2017-02-17,2017-02-19,both
63,79,9652 Los Angeles,,Monroe,98272,2017-04-18,2017-04-19,both
64,79,4566 La Jolla,,Monroe,98272,2017-03-29,2017-03-29,both
65,79,1356 Grove Way,,Monroe,98272,2017-05-05,2017-05-07,both
67,79,4734 Sycamore Court,,Monroe,98272,2017-03-08,2017-03-13,both
68,79,896 Southdale,,Monroe,98272,2017-05-15,2017-05-20,both
69,79,2275 Valley Blvd.,,Monroe,98272,2017-04-03,2017-04-08,both
70,79,1792 Belmont Rd.,,Monroe,98272,2017-02-19,2017-02-23,both
71,79,5734 Ashford Court,,Monroe,98272,2016-05-03,2016-05-05,both
72,79,5030 Blue Ridge Dr.,,Monroe,98272,2017-04-29,2017-05-03,both
73,79,158 Walnut Ave,,Monroe,98272,2017-04-29,2017-04-29,both
74,79,8310 Ridge Circle,,Monroe,98272,2017-02-20,2017-02-23,both
75,79,3747 W. Landing Avenue,,Monroe,98272,2017-05-20,2017-05-20,both
76,79,2598 La Vista Circle,,Duvall,98019,2017-04-23,2017-04-27,both
77,79,9693 Mellowood Street,,Duvall,98019,2016-05-09,2016-05-09,both
78,79,1825 Corte Del Prado,,Duvall,98019,2017-03-16,2017-03-21,both
79,79,5086 Nottingham Place,,Duvall,98019,2018-04-09,2018-04-09,both
80,79,3977 Central Avenue,,Duvall,98019,2017-04-23,2017-04-27,both
81,79,8209 Green View Court,,Duvall,98019,2018-05-09,2018-05-12,both
82,79,8463 Vista Avenue,,Duvall,98019,2017-05-10,2017-05-10,both
83,79,5379 Treasure Island Way,# 14,Duvall,98019,2017-04-25,2017-04-30,both
84,79,3421 Bouncing Road,,Duvall,98019,2017-02-20,2017-02-25,both
85,79,991 Vista Verde,,Duvall,98019,2017-04-22,2017-04-27,both
86,79,390 Ridgewood Ct.,,Carnation,98014,2017-03-12,2017-03-17,both
87,79,1411 Ranch Drive,,Carnation,98014,2017-04-25,2017-04-28,both
88,79,9666 Northridge Ct.,,Carnation,98014,2017-02-22,2017-02-27,both
89,79,3074 Arbor Drive,,Carnation,98014,2017-03-04,2017-03-07,both
90,79,9752 Jeanne Circle,,Carnation,98014,2018-03-29,2018-03-29,both
91,79,7166 Brock Lane,,Seattle,98104,2017-03-08,2017-03-08,both
92,79,7126 Ending Ct.,,Seattle,98104,2016-03-09,2016-03-09,both
93,79,4598 Manila Avenue,,Seattle,98104,2018-04-20,2018-04-25,both
94,79,5666 Hazelnut Lane,,Seattle,98104,2017-05-15,2017-05-16,both
95,79,1220 Bradford Way,,Seattle,98104,2017-02-27,2017-03-02,both
96,79,5375 Clearland Circle,,Seattle,98104,2017-03-27,2017-03-28,both
98,79,502 Alexander Pl.,,Seattle,98104,2017-04-16,2017-04-17,both
99,79,5802 Ampersand Drive,,Seattle,98104,2017-03-23,2017-03-27,both
100,79,5125 Cotton Ct.,,Seattle,98104,2017-04-22,2017-04-23,both
101,79,3243 Buckingham Dr.,# 207,Seattle,98104,2017-05-07,2017-05-07,both
102,79,3029 Pastime Dr,# 2,Seattle,98104,2017-03-24,2017-03-29,both
103,79,9537 Ridgewood Drive,,Seattle,98104,2018-04-26,2018-04-26,both
104,79,9964 North Ridge Drive,,Seattle,98104,2017-04-17,2017-04-22,both
105,79,1619 Stillman Court,,Seattle,98104,2017-03-12,2017-03-13,both
106,79,2144 San Rafael,,Seattle,98104,2017-03-25,2017-03-25,both
107,79,7403 N. Broadway,,Seattle,98104,2017-03-22,2017-03-24,both
108,79,7842 Ygnacio Valley Road,,Seattle,98104,2017-03-02,2017-03-07,both
109,79,874 Olivera Road,,Seattle,98104,2018-05-13,2018-05-18,both
110,79,1064 Slow Creek Road,,Seattle,98104,2017-02-26,2017-02-26,both
111,79,77 Birchwood,,Seattle,98104,2017-04-20,2017-04-22,both
112,79,7765 Sunsine Drive,,Seattle,98104,2017-05-10,2017-05-11,both
113,79,1102 Ravenwood,,Seattle,98104,2018-03-04,2018-03-06,both
